cym,month,age_0_4,age_5_9,age_10_14,age_15_19,no_age,total_daa_cic,total_mcfd_cic,total_cic
199001,Jan-1990,973,852,1611,2686,63,0,6185,6185
199002,Feb-1990,971,867,1618,2669,63,0,6188,6188
199003,Mar-1990,985,894,1615,2669,61,0,6224,6224
199004,Apr-1990,984,880,1633,2643,64,0,6204,6204
199005,May-1990,1030,921,1640,2635,62,0,6288,6288
199006,Jun-1990,1054,951,1626,2615,59,0,6305,6305
199007,Jul-1990,1052,912,1549,2549,58,0,6120,6120
199008,Aug-1990,1082,922,1525,2559,53,0,6141,6141
199009,Sep-1990,1046,916,1504,2556,53,0,6075,6075
199010,Oct-1990,1060,915,1573,2537,55,0,6140,6140
199011,Nov-1990,1042,935,1598,2573,55,0,6203,6203
199012,Dec-1990,1034,942,1576,2565,53,0,6170,6170
199101,Jan-1991,1010,908,1541,2539,57,0,6055,6055
199102,Feb-1991,994,905,1527,2552,63,0,6041,6041
199103,Mar-1991,1047,912,1528,2574,23,0,6084,6084
199104,Apr-1991,1000,902,1562,2568,52,0,6084,6084
199105,May-1991,975,908,1553,2556,66,0,6058,6058
199106,Jun-1991,1021,933,1547,2548,66,0,6115,6115
199107,Jul-1991,982,935,1490,2524,63,0,5994,5994
199108,Aug-1991,1024,919,1465,2478,68,0,5954,5954
199109,Sep-1991,1030,913,1459,2504,69,0,5975,5975
199110,Oct-1991,1032,929,1466,2551,69,0,6047,6047
199111,Nov-1991,1032,954,1476,2548,65,0,6075,6075
199112,Dec-1991,1010,978,1471,2552,64,0,6075,6075
199201,Jan-1992,990,965,1497,2550,59,0,6061,6061
199202,Feb-1992,983,966,1528,2583,58,0,6118,6118
199203,Mar-1992,972,961,1508,2582,61,0,6084,6084
199204,Apr-1992,1000,979,1506,2574,61,0,6120,6120
199205,May-1992,973,975,1515,2556,60,0,6079,6079
199206,Jun-1992,973,964,1504,2534,61,0,6036,6036
199207,Jul-1992,989,956,1483,2508,66,0,6002,6002
199208,Aug-1992,990,956,1460,2491,66,0,5963,5963
199209,Sep-1992,984,954,1467,2490,72,0,5967,5967
199210,Oct-1992,990,965,1494,2518,75,0,6042,6042
199211,Nov-1992,1004,991,1532,2534,73,0,6134,6134
199212,Dec-1992,956,962,1502,2533,72,0,6025,6025
199301,Jan-1993,961,973,1507,2528,73,0,6042,6042
199302,Feb-1993,972,979,1518,2517,73,0,6059,6059
199303,Mar-1993,975,971,1563,2532,68,0,6109,6109
199304,Apr-1993,976,981,1548,2537,71,0,6113,6113
199305,May-1993,963,1006,1544,2548,68,0,6129,6129
199306,Jun-1993,971,990,1532,2507,63,0,6063,6063
199307,Jul-1993,989,1007,1489,2464,64,0,6013,6013
199308,Aug-1993,989,997,1464,2428,66,0,5944,5944
199309,Sep-1993,1006,1007,1455,2441,69,0,5978,5978
199310,Oct-1993,1025,1020,1481,2411,72,0,6009,6009
199311,Nov-1993,985,1010,1535,2408,74,0,6012,6012
199312,Dec-1993,971,1044,1516,2400,71,0,6002,6002
199401,Jan-1994,987,1041,1522,2405,69,0,6024,6024
199402,Feb-1994,1006,1053,1578,2400,69,0,6106,6106
199403,Mar-1994,1044,1090,1568,2432,66,0,6200,6200
199404,Apr-1994,1045,1095,1556,2430,65,0,6191,6191
199405,May-1994,1023,1123,1620,2407,63,0,6236,6236
199406,Jun-1994,1076,1161,1629,2388,61,0,6315,6315
199407,Jul-1994,1096,1126,1609,2369,62,0,6262,6262
199408,Aug-1994,1100,1163,1570,2330,63,0,6226,6226
199409,Sep-1994,1121,1177,1587,2328,65,0,6278,6278
199410,Oct-1994,1124,1192,1617,2344,62,0,6339,6339
199411,Nov-1994,1139,1233,1647,2329,70,0,6418,6418
199412,Dec-1994,1116,1215,1631,2337,61,0,6360,6360
199501,Jan-1995,1153,1245,1665,2339,58,0,6460,6460
199502,Feb-1995,1173,1266,1720,2369,60,0,6588,6588
199503,Mar-1995,1187,1291,1791,2394,60,0,6723,6723
199504,Apr-1995,1214,1286,1829,2394,62,0,6785,6785
199505,May-1995,1279,1352,1872,2384,64,0,6951,6951
199506,Jun-1995,1305,1365,1897,2388,61,0,7016,7016
199507,Jul-1995,1306,1327,1849,2340,67,0,6889,6889
199508,Aug-1995,1305,1359,1820,2317,77,0,6878,6878
199509,Sep-1995,1300,1382,1803,2343,68,0,6896,6896
199510,Oct-1995,1290,1397,1836,2376,70,0,6969,6969
199511,Nov-1995,1302,1376,1867,2388,70,0,7003,7003
199512,Dec-1995,1327,1394,1902,2428,68,0,7119,7119
199601,Jan-1996,1343,1419,1910,2430,70,0,7172,7172
199602,Feb-1996,1357,1452,1945,2477,0,0,7231,7231
199603,Mar-1996,1346,1463,1939,2530,0,0,7278,7278
199604,Apr-1996,1339,1478,1985,2576,0,0,7378,7378
199605,May-1996,1332,1515,2034,2529,0,0,7410,7410
199606,Jun-1996,1391,1541,2048,2539,0,0,7519,7519
199607,Jul-1996,1417,1498,1990,2518,0,0,7423,7423
199608,Aug-1996,1403,1540,1953,2525,0,0,7421,7421
199609,Sep-1996,1436,1567,2012,2520,0,0,7535,7535
199610,Oct-1996,1486,1594,2093,2543,0,0,7716,7716
199611,Nov-1996,1512,1658,2152,2598,0,0,7920,7920
199612,Dec-1996,1481,1636,2152,2607,0,0,7876,7876
199701,Jan-1997,1502,1682,2177,2621,0,0,7982,7982
199702,Feb-1997,1516,1736,2243,2653,0,0,8148,8148
199703,Mar-1997,1516,1781,2233,2702,0,0,8232,8232
199704,Apr-1997,1552,1853,2352,2766,1,96,8428,8524
199705,May-1997,1566,1888,2406,2791,2,110,8543,8653
199706,Jun-1997,1587,1942,2450,2814,1,110,8684,8794
199707,Jul-1997,1604,1925,2404,2782,0,109,8606,8715
199708,Aug-1997,1672,1933,2433,2810,0,116,8732,8848
199709,Sep-1997,1703,1931,2417,2807,1,107,8752,8859
199710,Oct-1997,1727,1962,2450,2850,1,108,8882,8990
199711,Nov-1997,1755,2032,2498,2941,1,119,9108,9227
199712,Dec-1997,1759,1985,2516,2948,2,119,9091,9210
199801,Jan-1998,1749,1995,2544,2960,1,119,9130,9249
199802,Feb-1998,1758,2024,2607,3023,1,116,9297,9413
199803,Mar-1998,1773,2022,2660,3030,1,119,9367,9486
199804,Apr-1998,1758,2069,2713,3115,1,147,9509,9656
199805,May-1998,1708,2110,2736,3130,1,161,9524,9685
199806,Jun-1998,1734,2125,2742,3137,1,180,9559,9739
199807,Jul-1998,1779,2158,2733,3166,1,248,9589,9837
199808,Aug-1998,1830,2176,2749,3188,1,272,9672,9944
199809,Sep-1998,1817,2152,2741,3212,1,277,9646,9923
199810,Oct-1998,1794,2159,2782,3230,1,297,9669,9966
199811,Nov-1998,1786,2209,2825,3302,1,314,9809,10123
199812,Dec-1998,1763,2202,2821,3272,1,308,9751,10059
199901,Jan-1999,1757,2209,2832,3291,0,326,9763,10089
199902,Feb-1999,1750,2232,2829,3315,1,323,9804,10127
199903,Mar-1999,1763,2232,2846,3316,2,345,9814,10159
199904,Apr-1999,1760,2279,2864,3291,0,338,9856,10194
199905,May-1999,1778,2321,2909,3282,0,374,9916,10290
199906,Jun-1999,1770,2340,2878,3255,1,384,9860,10244
199907,Jul-1999,1746,2287,2817,3178,0,396,9632,10028
199908,Aug-1999,1758,2264,2777,3196,0,412,9583,9995
199909,Sep-1999,1765,2274,2774,3226,0,413,9626,10039
199910,Oct-1999,1723,2319,2816,3205,1,404,9660,10064
199911,Nov-1999,1728,2300,2807,3203,0,425,9613,10038
199912,Dec-1999,1675,2237,2790,3191,0,441,9452,9893
200001,Jan-2000,1638,2236,2791,3193,0,431,9427,9858
200002,Feb-2000,1665,2266,2859,3201,0,459,9532,9991
200003,Mar-2000,1674,2251,2874,3188,0,464,9523,9987
200004,Apr-2000,1702,2293,2911,3163,0,459,9610,10069
200005,May-2000,1761,2340,2953,3153,1,486,9722,10208
200006,Jun-2000,1790,2424,3013,3154,0,508,9873,10381
200007,Jul-2000,1761,2398,2957,3078,0,516,9678,10194
200008,Aug-2000,1760,2384,2921,3070,0,526,9609,10135
200009,Sep-2000,1774,2349,2919,3081,2,526,9599,10125
200010,Oct-2000,1744,2368,2954,3112,1,516,9663,10179
200011,Nov-2000,1759,2357,2995,3137,2,502,9748,10250
200012,Dec-2000,1731,2361,3008,3134,1,510,9725,10235
200101,Jan-2001,1748,2359,3022,3162,0,513,9778,10291
200102,Feb-2001,1758,2396,3073,3195,0,520,9902,10422
200103,Mar-2001,1741,2418,3086,3229,0,518,9956,10474
200104,Apr-2001,1745,2434,3133,3258,0,526,10044,10570
200105,May-2001,1770,2449,3179,3283,0,561,10120,10681
200106,Jun-2001,1788,2506,3182,3271,1,561,10187,10748
200107,Jul-2001,1757,2456,3118,3278,0,551,10058,10609
200108,Aug-2001,1784,2449,3115,3269,0,541,10076,10617
200109,Sep-2001,1794,2410,3122,3280,0,546,10060,10606
200110,Oct-2001,1759,2363,3071,3223,1,533,9884,10417
200111,Nov-2001,1726,2309,3080,3187,1,562,9741,10303
200112,Dec-2001,1716,2275,3046,3192,0,570,9659,10229
200201,Jan-2002,1676,2245,3012,3138,0,588,9483,10071
200202,Feb-2002,1666,2240,3062,3133,0,609,9492,10101
200203,Mar-2002,1649,2236,3055,3106,3,614,9435,10049
200204,Apr-2002,1664,2238,3049,3090,0,618,9423,10041
200205,May-2002,1667,2227,3045,3099,0,615,9423,10038
200206,Jun-2002,1632,2201,3056,3074,0,623,9340,9963
200207,Jul-2002,1651,2104,3033,3029,0,628,9189,9817
200208,Aug-2002,1634,2087,2989,3014,0,880,8844,9724
200209,Sep-2002,1615,2085,2953,2992,0,906,8739,9645
200210,Oct-2002,1533,2058,2949,2955,0,922,8573,9495
200211,Nov-2002,1501,2024,2984,2947,0,939,8517,9456
200212,Dec-2002,1521,2000,2996,2958,0,949,8526,9475
200301,Jan-2003,1537,1972,3004,2963,0,981,8495,9476
200302,Feb-2003,1524,1994,2991,2973,0,998,8484,9482
200303,Mar-2003,1514,1998,2980,2987,0,1008,8471,9479
200304,Apr-2003,1518,1983,2985,2987,0,1057,8416,9473
200305,May-2003,1501,1981,3003,2954,0,1084,8355,9439
200306,Jun-2003,1456,1995,3003,2955,0,1109,8300,9409
200307,Jul-2003,1431,1981,2968,2911,0,1090,8201,9291
200308,Aug-2003,1432,1979,2930,2922,0,1091,8172,9263
200309,Sep-2003,1459,1953,2945,2888,0,1103,8142,9245
200310,Oct-2003,1451,1955,2923,2898,0,1115,8112,9227
200311,Nov-2003,1403,1940,2922,2906,0,1134,8037,9171
200312,Dec-2003,1373,1914,2919,2882,0,1158,7930,9088
200401,Jan-2004,1354,1892,2891,2863,0,1158,7842,9000
200402,Feb-2004,1377,1893,2890,2852,0,1202,7810,9012
200403,Mar-2004,1384,1873,2879,2873,0,1223,7786,9009
200404,Apr-2004,1390,1880,2873,2857,0,1247,7753,9000
200405,May-2004,1421,1882,2873,2852,0,1231,7797,9028
200406,Jun-2004,1438,1884,2863,2832,0,1240,7777,9017
200407,Jul-2004,1471,1891,2813,2789,0,1237,7727,8964
200408,Aug-2004,1507,1904,2800,2769,0,1251,7729,8980
200409,Sep-2004,1490,1899,2796,2799,0,1267,7717,8984
200410,Oct-2004,1489,1919,2804,2813,0,1275,7750,9025
200411,Nov-2004,1517,1902,2817,2824,0,1282,7778,9060
200412,Dec-2004,1501,1876,2792,2832,0,1276,7725,9001
200501,Jan-2005,1511,1867,2797,2810,0,1310,7675,8985
200502,Feb-2005,1530,1860,2787,2831,0,1355,7653,9008
200503,Mar-2005,1517,1861,2765,2832,0,1346,7629,8975
200504,Apr-2005,1483,1861,2772,2824,0,1349,7591,8940
200505,May-2005,1518,1836,2808,2800,0,1346,7616,8962
200506,Jun-2005,1519,1817,2824,2806,0,1338,7628,8966
200507,Jul-2005,1557,1779,2792,2762,0,1333,7557,8890
200508,Aug-2005,1601,1762,2768,2775,0,1340,7566,8906
200509,Sep-2005,1636,1751,2774,2782,0,1339,7604,8943
200510,Oct-2005,1646,1748,2782,2795,0,1339,7632,8971
200511,Nov-2005,1674,1783,2767,2808,0,1344,7688,9032
200512,Dec-2005,1685,1757,2763,2809,0,1366,7648,9014
200601,Jan-2006,1686,1773,2774,2804,0,1366,7671,9037
200602,Feb-2006,1714,1786,2771,2802,0,1373,7700,9073
200603,Mar-2006,1697,1782,2782,2795,0,1389,7667,9056
200604,Apr-2006,1709,1796,2775,2775,0,1390,7665,9055
200605,May-2006,1722,1795,2769,2774,0,1383,7677,9060
200606,Jun-2006,1717,1832,2745,2783,0,1376,7701,9077
200607,Jul-2006,1738,1811,2716,2773,0,1395,7643,9038
