office,authority,mcfd_reg,agency,sda_desc,lsa_desc,off_name,city,open_dt,close_dt,off_type,afterhrs,apt_num,addr1_txt,addr2_txt,post_cd,phone_num,community,lha,lha_name,lat,lng
ABA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,{Office not assigned to an LSA},Eds-Kootenay Service Area,Creston,2000/04/01,2024/03/31,District,N,,224 10th Avenue North, ,V0B1G0, ,CRESTON,115,Creston,49.097285,-116.5132715
ACA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Reg. Mgr. Asd,Cranbrook,2000/04/01,2024/03/31, ,N,,"Suite 100, 117 10th Avenue S", ,V1C2N1, ,CRANBROOK,112,Cranbrook,49.5093498,-115.7679904
ACC,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Cranbrook - Asd,Cranbrook,2000/04/01,2024/03/31, ,N,,"Suite 100, 117 10th Avenue S", ,V1C2N1, ,CRANBROOK,112,Cranbrook,49.5093498,-115.7679904
ACG,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Creston - Asd,Creston,2000/04/01,2024/03/31,District,N,,Po Box 1180,224 10th Avenue N,V0B1G0, ,CRESTON,115,Creston,49.097285,-116.5132715
ACW,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Castelgar - Asd,Castlegar,2000/04/01,2024/03/31,District,N,,1006 Third Street, ,V1N3X6, ,CASTLEGAR,123,Castlegar,49.3262703,-117.6634232
ADP,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Director Practice-Kootenay,Trail,2011/04/01,2024/03/31, ,N,,#278 - 1051 Farwell Street, ,V1R4S9, ,TRAIL,125,Trail,49.0972041,-117.7083753
AEA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Early Years and CYSN - Okanagan and West Kootenay,"Director Of Operations - Cysn, Youth Justice And Early Years",Trail,2000/04/01,2024/03/31, ,N,,#278 - 1051 Farwell Street, ,V1R4S9, ,TRAIL,125,Trail,49.0972041,-117.7083753
AEB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - Early Years and CYSN,Kootenay Cysn Services,Trail,2009/04/01,2024/03/31,District,N,,#278 - 1051 Farwell Street, ,V1R4S9, ,TRAIL,125,Trail,49.0972041,-117.7083753
AEC,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,East Kootenay Resource & Adoption Services,Cranbrook,2000/04/01,2024/03/31,District,N,,"Suite 106, 1212 2nd Street N", ,V1C4T6, ,CRANBROOK,112,Cranbrook,49.5142494,-115.7635772
AED,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Invermere - Resources,Invermere,2000/04/01,2024/03/31,District,N,,625 - 4th Street,Box 189,V0A1K0, ,INVERMERE,114,Windermere,50.5092293,-116.0289834
AEE,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Golden - Resources,Kelowna,2000/04/01,2024/03/31,District,N,,2nd Floor-1726 Dolphin Avenue, ,V1Y9R9, ,KELOWNA,137,Central Okanagan,49.8792745,-119.4593551
AEG,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Creston - Resources,Creston,2000/04/01,2024/03/31,District,N,,224 10th Avenue North, ,V0B1G0, ,CRESTON,115,Creston,49.097285,-116.5132715
AEI,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},E Kootenays Sn Child Services,,2008/04/01,2024/03/31, ,N,,,,, ,,,,,
AEL,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Fernie - Resources,Fernie,2000/04/01,2024/03/31,District,N,,592 2nd Avenue, ,V0B1M0, ,FERNIE,111,Fernie,49.5036433,-115.0606058
AET,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - West Kootenay Boundary,"West Kootenay Resource, Adoption & Guardianship Services",Nelson,2000/04/01,2024/03/31, ,N,,"Suite 308, 310 Ward Street", ,V1L5S4, ,NELSON,122,Nelson,49.4934222,-117.2959965
AFA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Director Of Operations - East Kootenay,Creston,2000/04/01,2024/03/31,District,N,,224 10th Avenue North, ,V0B1G0, ,CRESTON,115,Creston,49.097285,-116.5132715
