Service Delivery Area,All,Indigenous (All),Non-Indigenous (All),Indigenous (MCFD Office),Non-Indigenous (MCFD Office),ICFSA
Coast/North Shore,74,38,36,38,36,-
East Fraser,206,115,91,15,91,100
Kootenays,41,*,*,*,*,*
North Central,226,166,60,166,60,-
North Fraser,90,32,58,32,58,-
North Vancouver Island,267,161,106,92,106,69
Northeast,90,63,27,63,27,-
Northwest,80,*,*,63,*,*
Okanagan,122,58,64,58,64,-
South Fraser,273,103,170,65,170,38
South Vancouver Island,207,91,116,*,116,*
Thompson Cariboo Shuswap,176,89,87,52,87,37
Vancouver/Richmond,194,117,77,38,77,79
British Columbia,"2,046","1,128",918,774,918,354
